sku,size_code,size,quantity,promotion_code,list_unit_price_ex_gst,discount_ex_gst,unit_price_ex_gst,loaded_landed_cost,product_gross_margin_pct,checkout_route,configuration
FP-104,250ML,250 ml,1000,PACK7,13.21,924.70,12.29,7.98,35.04,online checkout,standard
FP-104,250ML,250 ml,1000,PACK7,19.81,1386.70,18.42,11.97,35.03,online checkout,premium
FP-104,500ML,500 ml,1000,PACK7,16.10,1127.00,14.97,9.73,35.02,online checkout,standard
FP-104,500ML,500 ml,1000,PACK7,24.16,1691.20,22.47,14.60,35.02,online checkout,premium
FP-104,1L,1 litre,1000,PACK7,20.29,1420.30,18.87,12.26,35.03,online checkout,standard
FP-104,1L,1 litre,1000,PACK7,30.43,2130.10,28.30,18.39,35.02,online checkout,premium
FP-104,2L,2 litres,1000,PACK7,24.95,1746.50,23.20,15.08,35.01,online checkout,standard
FP-104,2L,2 litres,1000,PACK7,37.42,2619.40,34.80,22.62,35.00,online checkout,premium
FP-104,250ML,250 ml,2500,PACK7,10.26,1795.50,9.54,6.20,35.02,online checkout,standard
FP-104,250ML,250 ml,2500,PACK7,15.39,2693.25,14.31,9.30,35.02,online checkout,premium
FP-104,500ML,500 ml,2500,PACK7,12.51,2189.25,11.63,7.56,35.02,online checkout,standard
FP-104,500ML,500 ml,2500,PACK7,18.76,3283.00,17.45,11.34,35.00,payment confirmation,premium
FP-104,1L,1 litre,2500,PACK7,15.77,2759.75,14.67,9.53,35.02,online checkout,standard
FP-104,1L,1 litre,2500,PACK7,23.64,4137.00,21.99,14.29,35.00,payment confirmation,premium
FP-104,2L,2 litres,2500,PACK7,19.39,3393.25,18.03,11.72,35.01,payment confirmation,standard
FP-104,2L,2 litres,2500,PACK7,29.09,5090.75,27.05,17.58,35.02,payment confirmation,premium
FP-104,250ML,250 ml,5000,PACK7,7.63,2670.50,7.10,4.61,35.03,online checkout,standard
FP-104,250ML,250 ml,5000,PACK7,11.44,4004.00,10.64,6.91,35.05,payment confirmation,premium
FP-104,500ML,500 ml,5000,PACK7,9.30,3255.00,8.65,5.62,35.02,payment confirmation,standard
FP-104,500ML,500 ml,5000,PACK7,13.95,4882.50,12.97,8.43,35.02,payment confirmation,premium
